Gene stable ID	Gene stable ID version	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC symbol	NCBI gene (formerly Entrezgene) ID
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907341
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907340
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907339
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907338
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907337
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907336
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907335
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907334
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907333
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907332
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907331
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907330
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907329
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907328
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907327
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907324
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907313
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907302
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907291
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907280
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907269
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907258
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907248
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907238
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907227
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907216
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907205
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907194
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907183
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907172
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907160
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907155
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907154
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907153
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907152
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907151
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907150
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907149
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907148
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907147
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907146
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907145
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907144
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907143
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907142
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907141
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907140
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907139
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907138
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907137
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907136
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907135
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907134
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907133
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907132
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907131
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907130
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907129
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907128
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907127
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907126
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907125
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907124
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907123
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907122
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907121
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907120
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907119
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907118
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907117
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907116
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907115
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	124907114
ENSG00000274917	ENSG00000274917.1		GL000220.1	112025	112177	RNA5-8SN5	100008587
ENSG00000276256	ENSG00000276256.1		GL000195.1	42939	49164		389831
ENSG00000278294	ENSG00000278294.1		KI270442.1	217250	217401		124908250
ENSG00000278294	ENSG00000278294.1		KI270442.1	217250	217401		124907485
ENSG00000278294	ENSG00000278294.1		KI270442.1	217250	217401		124907156
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908527
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908525
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908524
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908523
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908522
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908521
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908520
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908519
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908518
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908517
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908516
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908515
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908514
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908513
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908512
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908504
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908494
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908474
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908393
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908392
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908391
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908390
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908389
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908388
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908387
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908386
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908385
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908384
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908383
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908382
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908381
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908380
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908379
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908378
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908377
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908376
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908375
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908374
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908373
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908372
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908371
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908370
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908369
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908368
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908358
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908347
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908336
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908327
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908316
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908310
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908300
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908289
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908278
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908268
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908257
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908249
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908248
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908247
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908246
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908245
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908244
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908243
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908242
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908241
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908240
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908239
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908238
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124908237
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907721
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907720
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907719
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907718
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907717
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907716
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907715
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907714
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907713
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907712
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907711
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907710
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907709
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907705
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907694
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907684
ENSG00000273730	ENSG00000273730.1		GL000220.1	155997	156149		124907673
