sample_ids	img_paths	extra_class_labels	early
T_70	ALY-2_SYS721_t70.tif	70	'0'
T_71	ALY-2_SYS721_t71.tif	71	'0'
T_72	ALY-2_SYS721_t72.tif	72	'0'
T_73	ALY-2_SYS721_t73.tif	73	'0'
T_74	ALY-2_SYS721_t74.tif	74	'0'
T_75	ALY-2_SYS721_t75.tif	75	'0'
T_76	ALY-2_SYS721_t76.tif	76	'0'
T_77	ALY-2_SYS721_t77.tif	77	'0'
T_78	ALY-2_SYS721_t78.tif	78	'0'
T_79	ALY-2_SYS721_t79.tif	79	'0'
T_80	ALY-2_SYS721_t80.tif	80	'0'
T_81	ALY-2_SYS721_t81.tif	81	'0'
T_82	ALY-2_SYS721_t82.tif	82	'0'
T_83	ALY-2_SYS721_t83.tif	83	'0'
T_84	ALY-2_SYS721_t84.tif	84	'0'
T_85	ALY-2_SYS721_t85.tif	85	'0'
T_86	ALY-2_SYS721_t86.tif	86	'0'
T_87	ALY-2_SYS721_t87.tif	87	'0'
T_88	ALY-2_SYS721_t88.tif	88	'0'
T_89	ALY-2_SYS721_t89.tif	89	'0'
T_90	ALY-2_SYS721_t90.tif	90	'0'
T_91	ALY-2_SYS721_t91.tif	91	'0'
T_92	ALY-2_SYS721_t92.tif	92	'0'
T_93	ALY-2_SYS721_t93.tif	93	'0'
T_94	ALY-2_SYS721_t94.tif	94	'0'
T_95	ALY-2_SYS721_t95.tif	95	'0'
T_96	ALY-2_SYS721_t96.tif	96	'0'
T_97	ALY-2_SYS721_t97.tif	97	'0'
T_98	ALY-2_SYS721_t98.tif	98	'0'
T_99	ALY-2_SYS721_t99.tif	99	'0'
T_100	ALY-2_SYS721_t100.tif	100	'0'
T_101	ALY-2_SYS721_t101.tif	101	'0'
T_102	ALY-2_SYS721_t102.tif	102	'0'
T_103	ALY-2_SYS721_t103.tif	103	'0'
T_104	ALY-2_SYS721_t104.tif	104	'0'
T_105	ALY-2_SYS721_t105.tif	105	'0'
T_106	ALY-2_SYS721_t106.tif	106	'0'
T_107	ALY-2_SYS721_t107.tif	107	'0'
T_108	ALY-2_SYS721_t108.tif	108	'0'
T_109	ALY-2_SYS721_t109.tif	109	'0'
T_110	ALY-2_SYS721_t110.tif	110	'0'
T_111	ALY-2_SYS721_t111.tif	111	'0'
T_112	ALY-2_SYS721_t112.tif	112	'0'
T_113	ALY-2_SYS721_t113.tif	113	'0'
T_114	ALY-2_SYS721_t114.tif	114	'0'
T_115	ALY-2_SYS721_t115.tif	115	'0'
T_116	ALY-2_SYS721_t116.tif	116	'0'
T_117	ALY-2_SYS721_t117.tif	117	'0'
T_118	ALY-2_SYS721_t118.tif	118	'0'
T_119	ALY-2_SYS721_t119.tif	119	'0'
T_120	ALY-2_SYS721_t120.tif	120	'0'
T_121	ALY-2_SYS721_t121.tif	121	'0'
T_122	ALY-2_SYS721_t122.tif	122	'0'
T_123	ALY-2_SYS721_t123.tif	123	'0'
T_124	ALY-2_SYS721_t124.tif	124	'0'
T_125	ALY-2_SYS721_t125.tif	125	'0'
T_126	ALY-2_SYS721_t126.tif	126	'0'
T_127	ALY-2_SYS721_t127.tif	127	'0'
T_128	ALY-2_SYS721_t128.tif	128	'0'
T_129	ALY-2_SYS721_t129.tif	129	'0'
T_130	ALY-2_SYS721_t130.tif	130	'0'
T_131	ALY-2_SYS721_t131.tif	131	'0'
T_132	ALY-2_SYS721_t132.tif	132	'0'
T_133	ALY-2_SYS721_t133.tif	133	'0'
T_134	ALY-2_SYS721_t134.tif	134	'0'
T_135	ALY-2_SYS721_t135.tif	135	'0'
T_136	ALY-2_SYS721_t136.tif	136	'0'
T_137	ALY-2_SYS721_t137.tif	137	'0'
T_138	ALY-2_SYS721_t138.tif	138	'0'
T_139	ALY-2_SYS721_t139.tif	139	'0'
T_140	ALY-2_SYS721_t140.tif	140	'0'
T_141	ALY-2_SYS721_t141.tif	141	'0'
T_142	ALY-2_SYS721_t142.tif	142	'0'
T_143	ALY-2_SYS721_t143.tif	143	'0'
T_144	ALY-2_SYS721_t144.tif	144	'0'
T_145	ALY-2_SYS721_t145.tif	145	'0'
T_146	ALY-2_SYS721_t146.tif	146	'0'
T_147	ALY-2_SYS721_t147.tif	147	'0'
T_148	ALY-2_SYS721_t148.tif	148	'0'
T_149	ALY-2_SYS721_t149.tif	149	'0'
T_150	ALY-2_SYS721_t150.tif	150	'0'
T_151	ALY-2_SYS721_t151.tif	151	'0'
T_152	ALY-2_SYS721_t152.tif	152	'0'
T_153	ALY-2_SYS721_t153.tif	153	'0'
T_154	ALY-2_SYS721_t154.tif	154	'0'
T_155	ALY-2_SYS721_t155.tif	155	'0'
T_156	ALY-2_SYS721_t156.tif	156	'0'
T_157	ALY-2_SYS721_t157.tif	157	'0'
T_158	ALY-2_SYS721_t158.tif	158	'0'
T_159	ALY-2_SYS721_t159.tif	159	'0'
T_160	ALY-2_SYS721_t160.tif	160	'0'
T_161	ALY-2_SYS721_t161.tif	161	'0'
T_162	ALY-2_SYS721_t162.tif	162	'0'
T_163	ALY-2_SYS721_t163.tif	163	'0'
T_164	ALY-2_SYS721_t164.tif	164	'0'
T_165	ALY-2_SYS721_t165.tif	165	'0'
T_166	ALY-2_SYS721_t166.tif	166	'0'
T_167	ALY-2_SYS721_t167.tif	167	'0'
T_168	ALY-2_SYS721_t168.tif	168	'0'
T_169	ALY-2_SYS721_t169.tif	169	'0'
T_170	ALY-2_SYS721_t170.tif	170	'0'
T_171	ALY-2_SYS721_t171.tif	171	'0'
T_172	ALY-2_SYS721_t172.tif	172	'0'
T_173	ALY-2_SYS721_t173.tif	173	'0'
T_174	ALY-2_SYS721_t174.tif	174	'0'
T_175	ALY-2_SYS721_t175.tif	175	'0'
T_176	ALY-2_SYS721_t176.tif	176	'0'
T_177	ALY-2_SYS721_t177.tif	177	'0'
T_178	ALY-2_SYS721_t178.tif	178	'0'
T_179	ALY-2_SYS721_t179.tif	179	'0'
T_180	ALY-2_SYS721_t180.tif	180	'0'
T_181	ALY-2_SYS721_t181.tif	181	'0'
T_182	ALY-2_SYS721_t182.tif	182	'0'
T_183	ALY-2_SYS721_t183.tif	183	'0'
T_184	ALY-2_SYS721_t184.tif	184	'0'
T_185	ALY-2_SYS721_t185.tif	185	'0'
T_186	ALY-2_SYS721_t186.tif	186	'0'
T_187	ALY-2_SYS721_t187.tif	187	'0'
T_188	ALY-2_SYS721_t188.tif	188	'0'
T_189	ALY-2_SYS721_t189.tif	189	'0'
T_190	ALY-2_SYS721_t190.tif	190	'0'
T_191	ALY-2_SYS721_t191.tif	191	'0'
T_192	ALY-2_SYS721_t192.tif	192	'0'
T_193	ALY-2_SYS721_t193.tif	193	'0'
T_194	ALY-2_SYS721_t194.tif	194	'0'
T_195	ALY-2_SYS721_t195.tif	195	'0'
T_196	ALY-2_SYS721_t196.tif	196	'0'
T_197	ALY-2_SYS721_t197.tif	197	'0'
T_198	ALY-2_SYS721_t198.tif	198	'0'
T_199	ALY-2_SYS721_t199.tif	199	'0'
T_200	ALY-2_SYS721_t200.tif	200	'0'
T_201	ALY-2_SYS721_t201.tif	201	'0'
T_202	ALY-2_SYS721_t202.tif	202	'0'
T_203	ALY-2_SYS721_t203.tif	203	'0'
T_204	ALY-2_SYS721_t204.tif	204	'0'
T_205	ALY-2_SYS721_t205.tif	205	'0'
T_206	ALY-2_SYS721_t206.tif	206	'0'
T_207	ALY-2_SYS721_t207.tif	207	'0'
T_208	ALY-2_SYS721_t208.tif	208	'0'
T_209	ALY-2_SYS721_t209.tif	209	'0'
T_210	ALY-2_SYS721_t210.tif	210	'0'
T_211	ALY-2_SYS721_t211.tif	211	'0'
T_212	ALY-2_SYS721_t212.tif	212	'0'
T_213	ALY-2_SYS721_t213.tif	213	'0'
T_214	ALY-2_SYS721_t214.tif	214	'0'
T_215	ALY-2_SYS721_t215.tif	215	'0'
T_216	ALY-2_SYS721_t216.tif	216	'0'
T_217	ALY-2_SYS721_t217.tif	217	'0'
T_218	ALY-2_SYS721_t218.tif	218	'0'
T_219	ALY-2_SYS721_t219.tif	219	'0'
T_220	ALY-2_SYS721_t220.tif	220	'0'
T_221	ALY-2_SYS721_t221.tif	221	'0'
T_222	ALY-2_SYS721_t222.tif	222	'0'
T_223	ALY-2_SYS721_t223.tif	223	'0'
T_224	ALY-2_SYS721_t224.tif	224	'0'
T_225	ALY-2_SYS721_t225.tif	225	'0'
T_226	ALY-2_SYS721_t226.tif	226	'0'
T_227	ALY-2_SYS721_t227.tif	227	'0'
T_228	ALY-2_SYS721_t228.tif	228	'0'
T_229	ALY-2_SYS721_t229.tif	229	'0'
T_230	ALY-2_SYS721_t230.tif	230	'0'
T_231	ALY-2_SYS721_t231.tif	231	'0'
T_232	ALY-2_SYS721_t232.tif	232	'0'
T_233	ALY-2_SYS721_t233.tif	233	'0'
T_234	ALY-2_SYS721_t234.tif	234	'0'
T_235	ALY-2_SYS721_t235.tif	235	'0'
T_236	ALY-2_SYS721_t236.tif	236	'0'
T_237	ALY-2_SYS721_t237.tif	237	'0'
T_238	ALY-2_SYS721_t238.tif	238	'0'
T_239	ALY-2_SYS721_t239.tif	239	'0'
T_240	ALY-2_SYS721_t240.tif	240	'0'
T_241	ALY-2_SYS721_t241.tif	241	'0'
T_242	ALY-2_SYS721_t242.tif	242	'0'
T_243	ALY-2_SYS721_t243.tif	243	'0'
T_244	ALY-2_SYS721_t244.tif	244	'0'
T_245	ALY-2_SYS721_t245.tif	245	'0'
T_246	ALY-2_SYS721_t246.tif	246	'0'
T_247	ALY-2_SYS721_t247.tif	247	'0'
T_248	ALY-2_SYS721_t248.tif	248	'0'
T_249	ALY-2_SYS721_t249.tif	249	'0'
T_250	ALY-2_SYS721_t250.tif	250	'0'
T_251	ALY-2_SYS721_t251.tif	251	'0'
T_252	ALY-2_SYS721_t252.tif	252	'0'
T_253	ALY-2_SYS721_t253.tif	253	'0'
T_254	ALY-2_SYS721_t254.tif	254	'0'
T_255	ALY-2_SYS721_t255.tif	255	'0'
T_256	ALY-2_SYS721_t256.tif	256	'0'
T_257	ALY-2_SYS721_t257.tif	257	'0'
T_258	ALY-2_SYS721_t258.tif	258	'0'
T_259	ALY-2_SYS721_t259.tif	259	'0'
T_260	ALY-2_SYS721_t260.tif	260	'0'
